Retail sales of electricity Texas monthly
https://www.eia.gov/electricity/data/browser/#/topic/5?agg=0,1&geo=vvvvvvvvvvvvo&endsec=vg&linechart=ELEC.SALES.TX-ALL.M~ELEC.SALES.TX-RES.M~ELEC.SALES.TX-COM.M~ELEC.SALES.TX-IND.M&columnchart=ELEC.SALES.TX-ALL.M~ELEC.SALES.TX-RES.M~ELEC.SALES.TX-COM.M~ELEC.SALES.TX-IND.M&map=ELEC.SALES.US-ALL.M&freq=M&ctype=linechart&ltype=sourcekey&rtype=s&pin=&rse=0&maptype=0
16:29:52 GMT-0700 (Pacific Daylight Time)
Data source: U.S. Energy Information Administration
Month,all sectors million kilowatthours,residential million kilowatthours,commercial million kilowatthours,industrial million kilowatthours
Mar 2021,29984.47498,12130.82537,10157.13287,7683.06478
Feb 2021,28807.75209,11737.93089,9244.65775,7813.18785
Jan 2021,35019.18822,13432.25023,10918.78374,10654.804
Dec 2020,32846.80843,11511.88844,10707.80522,10614.17187
Nov 2020,29578.63583,9472.87881,10082.13889,10009.47556
Oct 2020,34650.93685,11678.07204,12246.0976,10711.78719
Sep 2020,38186.23448,15726.90163,12641.87677,9801.6128
Aug 2020,42204.52288,18591.18648,13376.59988,10220.15532
Jul 2020,42342.71356,18610.49396,13714.13987,10003.06354
Jun 2020,36808.81256,15110.08496,12179.70471,9505.02766
May 2020,30807.17004,11579.66644,10143.57595,9070.84305
Apr 2020,29001.81654,9694.37116,10048.81447,9244.5219
Mar 2020,31046.12647,9953.31301,10964.39631,10114.68938
Feb 2020,30107.24702,10717.68712,9999.65668,9375.48912
Jan 2020,31785.72,11257.45279,11149.61815,9363.82129
Dec 2019,32147.93815,10976.83537,10605.61439,10551.69477
Nov 2019,30308.57717,9793.11653,10296.98351,10201.67207
Oct 2019,38655.17709,13807.1443,13424.50145,11406.44353
Sep 2019,42282.99724,17124.24663,13842.17233,11299.06429
Aug 2019,44914.77251,18477.63055,14404.22397,12015.97275
Jul 2019,43075.44712,17095.74234,13917.90903,12045.64975
Jun 2019,38347.12997,14262.68443,12449.88557,11619.34138
May 2019,33697.79311,10893.88181,11582.9142,11206.1964
Apr 2019,29383.12444,8754.02582,10144.25536,10470.26426
Mar 2019,31368.33327,10607.23288,10368.02766,10378.62773
Feb 2019,30997.09551,10978.5171,10057.6609,9946.58952
Jan 2019,34165.01845,12710.28426,10907.37563,10532.40556
Dec 2018,31942.75285,11268.22797,10706.3012,9953.81768
Nov 2018,30150.32157,9676.2562,10361.73363,10095.85674
Oct 2018,35634.42876,12088.30176,12727.7875,10801.87149
Sep 2018,39144.89727,15340.24396,13169.67426,10618.02405
Aug 2018,43866.29342,18089.03879,14497.01479,11262.59585
Jul 2018,42840.4194,17815.67026,14138.07888,10869.23727
Jun 2018,40453.92448,16326.57154,13489.63179,10622.04615
May 2018,33779.03742,11342.96179,11662.68107,10759.53557
Apr 2018,29018.88173,8892.01147,10373.91424,9738.23102
Mar 2018,29675.13733,9378.99889,10421.21202,9860.81742
Feb 2018,30761.99935,11633.36037,9931.43114,9182.53285
Jan 2018,37150.5344,15416.27001,12045.17047,9674.26293
Dec 2017,31249.20805,10619.14031,10465.94395,10149.48272
Nov 2017,29232.94396,9133.56157,10256.8145,9826.14982
Oct 2017,34913.67603,12300.93776,12306.5589,10289.69626
Sep 2017,37161.32394,14378.61066,12784.45956,9982.18764
Aug 2017,41577.2241,17184.47834,13652.80226,10722.96541
Jul 2017,40813.37538,16887.29872,13274.86624,10635.65432
Jun 2017,37295.00337,14106.72486,12616.14014,10556.94128
May 2017,32461.6607,10703.46631,11650.84698,10092.86834
Apr 2017,28246.79482,9013.56723,9994.73796,9224.02554
Mar 2017,29211.96351,8964.72909,10391.05169,9842.90567
Feb 2017,27357.8051,9005.66829,9455.40936,8882.59538
Jan 2017,32359.39506,11943.94789,10636.20946,9764.67063
Dec 2016,30613.09452,10539.08117,10637.84052,9421.67483
Nov 2016,29054.82836,9207.04661,10743.90808,9087.03168
Oct 2016,34223.24998,12149.4432,12140.12396,9917.37382
Sep 2016,38567.58604,15412.97716,13398.84805,9739.35484
Aug 2016,42140.0938,17705.20849,14327.56614,10090.05017
Jul 2016,40978.23638,17614.42456,13438.67085,9909.67098
Jun 2016,35736.36463,13698.76023,12479.53785,9543.28954
May 2016,30204.87304,9964.08107,10956.52403,9270.07894
Apr 2016,27839.8495,8486.35561,10222.56787,9116.78702
Mar 2016,28087.57719,8743.34671,10191.05737,9139.62811
Feb 2016,29074.79316,10363.05456,9947.19035,8750.48525
Jan 2016,32141.2622,12089.40158,10620.43891,9417.28771
Dec 2015,29214.00883,10065.33957,10084.76803,9049.90024
Nov 2015,27225.48614,8391.00308,10009.08874,8809.43133
Oct 2015,33579.86552,11673.44023,12098.29462,9791.55368
Sep 2015,37592.92045,15031.7611,12797.16859,9747.82575
Aug 2015,40722.08928,17396.11059,13519.97126,9789.55942
Jul 2015,40173.89391,16701.29352,13316.79372,10140.12367
Jun 2015,34721.3281,12990.15865,12081.41208,9635.01036
May 2015,29248.2363,9523.39753,10588.54603,9122.37774
Apr 2015,27952.9756,8528.28087,10540.04355,8870.68519
Mar 2015,30352.38188,11122.51458,10548.75206,8667.54624
Feb 2015,28980.37202,10984.75318,9903.83625,8076.96359
Jan 2015,32573.79597,13243.86011,10834.88707,8481.2878
Dec 2014,29582.39603,10200.42502,10653.37999,8715.70977
Nov 2014,27776.3939,8813.12895,10168.18718,8779.52676
Oct 2014,32563.728,10981.72343,12361.47324,9204.61844
Sep 2014,37723.70164,14647.86555,13771.50157,9288.55873
Aug 2014,38763.07946,15573.03539,13491.43069,9683.33201
Jul 2014,37815.77132,15087.20827,13270.06126,9444.45097
Jun 2014,34707.24656,12861.13669,12571.52102,9260.10822
May 2014,30309.12002,9345.75633,11272.89142,9676.7739
Apr 2014,27846.93409,8199.58641,10173.13175,9461.31874
Mar 2014,29007.54416,9811.56776,10200.14825,8983.0483
Feb 2014,30082.50021,11797.37397,10282.5238,7987.54637
Jan 2014,33491.40461,13580.93622,11215.84484,8680.5028
Dec 2013,30908.04614,11901.12226,10736.86445,8269.47366
Nov 2013,27074.17039,8493.28681,10267.96752,8311.84125
Oct 2013,31956.04451,10925.08679,12133.62947,8890.3356
Sep 2013,36987.50978,14795.35498,13206.86851,8978.14247
Aug 2013,39328.02823,16446.01833,13664.82927,9210.12974
Jul 2013,37888.72578,15670.16328,13491.83748,8720.98384
Jun 2013,34634.79578,13539.86259,12347.66982,8741.4539
May 2013,29266.79651,9588.19956,10975.23135,8697.98306
Apr 2013,27170.77194,8572.43707,10150.98801,8441.65986
Mar 2013,26795.88479,9077.84071,9701.54024,8011.79097
Feb 2013,26228.29592,9185.4979,9505.31204,7532.18617
Jan 2013,30578.18426,12077.73677,10333.29885,8161.86249
Dec 2012,26967.19648,9581.71762,9947.3441,7432.94536
Nov 2012,26384.82383,8519.96849,10293.15975,7565.39394
Oct 2012,29705.21772,10215.87513,11434.02578,8049.57222
Sep 2012,34606.09442,14009.27496,12571.73675,8018.80343
Aug 2012,39226.45359,16932.27557,13644.55234,8643.33762
Jul 2012,37508.39065,16050.08613,13131.07173,8320.95201
Jun 2012,34088.19608,13993.38328,12050.55829,8037.94625
May 2012,30054.72797,10826.49089,11161.92457,8060.81972
Apr 2012,26338.92394,8666.9289,9982.14133,7684.04677
Mar 2012,26164.7634,8584.69875,9706.68656,7868.18589
Feb 2012,25728.88668,9164.53118,9340.3418,7218.4825
Jan 2012,28330.45624,10866.4021,9841.451,7616.83729
Dec 2011,27726.66059,10249.01821,9506.50287,7965.84069
Nov 2011,25503.9399,8100.96037,9231.4882,8164.93201
Oct 2011,29754.84765,10291.5595,10812.29126,8645.05717
Sep 2011,36600.68907,15104.07099,12619.25474,8870.96008
Aug 2011,41667.1681,18620.65655,13643.81284,9396.64667
Jul 2011,38540.46336,17285.91771,12431.79896,8816.93127
Jun 2011,35730.16758,14819.56319,11965.15064,8939.92055
May 2011,29173.90689,10221.16945,10293.11519,8654.48682
Apr 2011,26963.24459,8670.98529,9707.56697,8579.33162
Mar 2011,26464.99249,8617.85188,9555.39003,8287.00978
Feb 2011,27945.66928,11584.00972,8904.17997,7451.48433
Jan 2011,29993.36651,12088.46517,9543.13831,8356.26801
Dec 2010,26656.13494,9920.10058,8865.58149,7864.81787
Nov 2010,24739.32711,7623.61708,8930.21184,8178.68889
Oct 2010,28534.64886,9710.77341,10338.76492,8478.74267
Sep 2010,34655.35522,13939.14518,11689.05722,9020.32466
Aug 2010,38732.07554,16560.19025,12576.29288,9588.95063
Jul 2010,36387.48928,15285.6072,11910.08472,9185.31594
Jun 2010,33553.24169,13596.01164,11208.95276,8742.28164
May 2010,27222.96074,9338.76703,9598.77423,8279.60481
Apr 2010,24541.76013,7745.98697,9025.93131,7763.73118
Mar 2010,26681.47664,9557.71231,9166.11728,7951.45757
Feb 2010,26517.6913,10656.54,8715.71417,7139.92543
Jan 2010,30235.38855,13226.95034,9441.80919,7560.57072
Dec 2009,27851.89969,10319.43002,9488.28928,8038.27055
Nov 2009,23222.92422,7192.88166,8366.35557,7658.76245
Oct 2009,27872.07234,9348.50812,10347.46331,8170.1932
Sep 2009,32093.92008,12531.66822,11151.16144,8404.98929
Aug 2009,36275.88472,15595.46462,11809.33885,8864.58968
Jul 2009,36817.13544,16354.21885,12037.83303,8418.62831
Jun 2009,31525.78908,12820.21651,10682.22762,8017.14203
May 2009,26511.72042,9524.44488,9305.82851,7675.43912
Apr 2009,25230.1863,7732.38932,9086.76984,8405.22049
Mar 2009,25380.42337,8389.59057,8881.34306,8103.64794
Feb 2009,24237.57688,8912.34615,8025.27999,7294.75075
Jan 2009,28331.88743,11093.74107,9352.84447,7879.24423
Dec 2008,26028.78079,9815.99017,8222.928,7984.29679
Nov 2008,24138.06631,7821.71367,8337.36435,7973.70264
Oct 2008,27016.63219,9022.16813,9481.83775,8506.85954
Sep 2008,30580.54374,11987.61196,10022.21935,8564.72975
Aug 2008,35633.21544,14971.42047,11288.64105,9367.09887
Jul 2008,35785.37293,14723.67213,11531.25862,9523.52833
Jun 2008,33656.6856,13425.60751,10791.31457,9433.90081
May 2008,29581.12699,9405.45269,9929.72573,10240.16921
Apr 2008,25400.06834,7964.56444,8471.71655,8958.31779
Mar 2008,25400.90165,8444.92439,8245.4015,8705.14494
Feb 2008,26480.32829,9582.851,8707.28321,8185.08424
Jan 2008,28112.92476,11074.07145,8607.92133,8425.61011
Dec 2007,25996.71502,8950.1273,8305.85087,8734.86929
Nov 2007,25475.18537,7964.06815,8521.15715,8984.10698
Oct 2007,30043.79452,10646.40214,9844.66206,9546.9506
Sep 2007,33193.01865,13316.66212,10376.50217,9494.21328
Aug 2007,35330.83577,14202.91476,11083.22988,10038.64805
Jul 2007,32679.28871,13007.74511,10204.47317,9461.24236
Jun 2007,30251.81413,11163.13909,9739.0172,9344.08676
May 2007,26883.06776,8897.78288,8983.18382,8996.50899
Apr 2007,24502.02928,7522.89123,8427.77306,8545.92892
Mar 2007,24998.018,8307.2481,8148.33818,8536.92565
Feb 2007,26280.45846,10238.33019,8185.94326,7851.10794
Jan 2007,28194.35634,10703.90294,8719.92217,8765.70717
Dec 2006,25813.83687,9112.95131,8520.78702,8175.6678
Nov 2006,23901.97369,7511.31356,8363.31925,8023.02396
Oct 2006,28085.86301,9520.46565,9650.58061,8908.91594
Sep 2006,32946.76225,13269.73742,10528.82437,9143.57972
Aug 2006,35867.62023,15289.54361,11318.96629,9253.89543
Jul 2006,34635.63572,14649.68932,10671.74934,9309.28238
Jun 2006,32130.29708,12852.6873,10278.75039,8994.01551
May 2006,28564.42053,10041.90849,9577.2071,8940.5435
Apr 2006,25670.26745,8485.536,8371.18373,8809.13759
Mar 2006,25064.80729,8321.21624,8069.57177,8669.39585
Feb 2006,23640.75862,8225.92478,7313.99077,8096.72957
Jan 2006,26401.97025,9562.25131,8465.43337,8364.68275
Dec 2005,25167.51266,9288.26436,8576.09587,7298.29043
Nov 2005,24063.15551,7734.51647,8723.29194,7600.62311
Oct 2005,29029.20076,10830.65447,10076.65944,8116.83886
Sep 2005,33978.96381,14574.38744,11120.66707,8278.8153
Aug 2005,33962.13101,14602.17409,10840.70617,8514.21375
Jul 2005,34246.07969,14977.10201,10799.38953,8465.37715
